experiment,form,equation,alpha,seed,rmse,avg_step,cp_error,shock_deviation,recovery_error
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,4,0.16686652403961505,0.02306318796204602,0.23704532884354476,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,5,0.15444114768485265,0.02328735451409572,0.1724644582692194,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,6,0.16567695465345084,0.022540254041998636,0.2302030490461947,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,7,0.15409681049443497,0.023570017174290026,0.17323867618662572,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,8,0.16241416918417542,0.02367447091034718,0.1710894232438828,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,9,0.1741241206017226,0.02323955405612219,0.24879558900311008,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,10,0.15648753593298495,0.02236504764459596,0.18273269377693532,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,11,0.15157806486108613,0.022807688607551415,0.18439045868465853,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,12,0.1548489298564353,0.023358637712693194,0.1841997972839412,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,13,0.15718753227604354,0.022435186007100205,0.19495867527031727,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,14,0.1614433070048206,0.023016636683356937,0.22541646012258842,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,15,0.16833992387693794,0.02269699041319905,0.18220086634153107,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,16,0.1548515485351211,0.021792713118856957,0.18632486165283776,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,17,0.16134450797672636,0.02340332908471741,0.19380365407222302,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,18,0.15872348933477123,0.02254621534462762,0.21328538476045553,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,19,0.17151210548776816,0.023529737071677267,0.23979899253621442,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,20,0.15203165174237088,0.02194627030810485,0.19306308990002594,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,21,0.17252647893187378,0.02301829084242801,0.21221921550885736,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,22,0.15318114079475015,0.02302939903631454,0.14937113596953872,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,23,0.15834414415598874,0.0231493908316179,0.19935877614935948,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,24,0.1537563476688409,0.023634530545491507,0.16512750183139605,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,25,0.1595324155945624,0.02349798954546357,0.17661897006440444,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,26,0.15631352690878142,0.023113352004152245,0.18409268131611842,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,27,0.1594144277047424,0.022947455214656968,0.1885760229276855,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,28,0.15737721011935835,0.023681295787530896,0.19600924207373582,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,29,0.15667565567675826,0.023455468923967614,0.16664204002740965,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,30,0.15846787736641704,0.022813993262942218,0.19284630571324124,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,31,0.16129757324140168,0.022557623503296147,0.20478790713880646,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,32,0.14603821575829123,0.021947098197770624,0.17767642753288726,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,33,0.1597255446589583,0.022618538814991797,0.19778504573871672,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,34,0.15453841683484512,0.022359951175016664,0.18401850748194368,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,35,0.15703927062233577,0.022193929656229145,0.19123464392085765,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,36,0.15474541046684068,0.022766271467475712,0.17720839602792857,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,37,0.16184682872820969,0.02287094976231157,0.18015150578721206,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,38,0.16532095840468936,0.02279518749683896,0.2190149058942564,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,39,0.1605531867518439,0.023610793480032997,0.19870447505172004,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,40,0.16245918121344163,0.023135179966852618,0.23399980209988888,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,41,0.16236320442196717,0.02290638454020797,0.16701999610979948,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,42,0.15619330733603248,0.023145360041581724,0.1908473229136701,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,43,0.1604448103847557,0.023375702432138736,0.23187988698520537,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,44,0.15940017423122016,0.02345434340638416,0.18839060185320625,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,45,0.16939023060390818,0.02298739128994859,0.20779053603421868,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,46,0.15874268273889844,0.02260590148864535,0.2273870303004255,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,47,0.1581270213475085,0.02333567341041255,0.18920363143088084,,
